item_id,item_name,item_type,rarity,max_stacked,is_stacked,is_tradable,attributes,drops
1,Sunflower,4,0,999,TRUE,TRUE,,
2,Potato,4,0,999,TRUE,TRUE,,
3,Carrot,4,0,999,TRUE,TRUE,,
4,Sunflower Seed,3,0,999,TRUE,TRUE,"GrowthRate:120,YieldBonus:2",
5,Potato Seed,3,0,999,TRUE,TRUE,"GrowthRate:150,YieldBonus:2",
6,Carrot Seed,3,0,999,TRUE,TRUE,"GrowthRate:180,YieldBonus:2",
7,Iron Sword,0,0,50,TRUE,TRUE,,
8,Watering Can,7,0,1,FALSE,FALSE,,
9,Fishing Rod,7,0,1,FALSE,FALSE,,
10,Iron Hoe,7,0,50,TRUE,TRUE,,
11,Dorado,1,0,999,TRUE,TRUE,Health:5,
12,Sardine,1,0,999,TRUE,TRUE,Health:5,
13,Largemouth Bass,1,0,999,TRUE,TRUE,Health:5,
14,Purple Reef Fish,1,0,999,TRUE,TRUE,Health:5,
15,Pike,1,0,999,TRUE,TRUE,Health:5,
16,Anchovy,1,0,999,TRUE,TRUE,Health:5,
17,Tuna,1,0,999,TRUE,TRUE,Health:5,
18,Bream,1,0,999,TRUE,TRUE,Health:5,
19,Snail,1,0,999,TRUE,TRUE,Health:5,
20,Catfish,1,0,999,TRUE,TRUE,Health:5,
21,Oyster,1,0,999,TRUE,TRUE,Health:5,
22,Crayfish,1,0,999,TRUE,TRUE,Health:5,
23,Smallmouth Bass,1,0,999,TRUE,TRUE,Health:5,
24,Rainbow Trout,1,0,999,TRUE,TRUE,Health:5,
25,Puffer Fish,1,0,999,TRUE,TRUE,Health:5,
26,Salmon,1,0,999,TRUE,TRUE,Health:5,
27,Fish Boness,1,0,999,TRUE,TRUE,,
28,Old boot,1,0,999,TRUE,TRUE,,
29,Rusty can,1,0,999,TRUE,TRUE,,
30,Old Bottle,1,0,999,TRUE,TRUE,,
31,Driftwood,1,0,999,TRUE,TRUE,,
32,Seaweed,1,0,999,TRUE,TRUE,,
33,Fishing treasure chest,1,0,999,TRUE,TRUE,,
37,Pumpkin,4,0,999,TRUE,TRUE,,
38,Cabbage,4,0,999,TRUE,TRUE,,
40,Corn,4,0,999,TRUE,TRUE,,
50,Pumpkin Seed,3,0,999,TRUE,TRUE,"GrowthRate:270,YieldBonus:2",
51,Cabbage Seed,3,0,999,TRUE,TRUE,"GrowthRate:240,YieldBonus:2",
53,Corn Seed,3,0,999,TRUE,TRUE,"GrowthRate:210,YieldBonus:2",
69,Honey,1,0,999,TRUE,TRUE,Health:20,
70,Chicken Meat,1,0,999,TRUE,TRUE,Health:50,
71,Egg,1,0,999,TRUE,TRUE,Health:20,
72,Pork,1,0,999,TRUE,TRUE,Health:50,
73,Beef,1,0,999,TRUE,TRUE,Health:75,
74,Milk,1,0,999,TRUE,TRUE,Health:25,
75,Bee,5,0,999,TRUE,TRUE,"GrowthRate:1200,YieldBonus:2,harvestCoolDown :1000",
76,Chicken,5,0,999,TRUE,TRUE,"GrowthRate:600,YieldBonus:2,harvestCoolDown:500",
77,Pig,5,0,999,TRUE,TRUE,"GrowthRate:900,YieldBonus:2,harvestCoolDown :700",
78,Cow,5,0,999,TRUE,TRUE,"GrowthRate:1800,YieldBonus:2,harvestCoolDown:1600",
83,Iron Axe,7,0,50,TRUE,TRUE,,
89,Seiflower Seed,3,0,999,TRUE,TRUE,"GrowthRate:120,YieldBonus:2",
90,Seiflower,4,0,999,TRUE,TRUE,,
91,Animal Feed,6,0,999,TRUE,TRUE,,
